Entry Time,Exit Time,Ticker,Signal,Option Type,Strike,Entry Price,Exit Price,PnL,Exit Reason,Lot Size
2023-01-02 11:25:00+05:30,2023-01-02 11:26:00+05:30,NIFTY05JAN2318200CE,Sell,CE,18200,94.3,90.95,2512.499999999996,Take-Profit,750
2023-01-02 12:15:00+05:30,2023-01-02 12:19:00+05:30,NIFTY05JAN2318200PE,Buy,PE,18200,96.35,98.9,-1912.5000000000086,Stop-Loss,750
2023-01-02 12:30:00+05:30,2023-01-02 12:31:00+05:30,NIFTY05JAN2318150CE,Sell,CE,18150,115.2,118.65,-2587.5000000000023,Stop-Loss,750
2023-01-02 13:10:00+05:30,2023-01-02 13:13:00+05:30,NIFTY05JAN2318150PE,Buy,PE,18150,78.35,75.1,2437.5,Take-Profit,750
2023-01-02 13:45:00+05:30,2023-01-02 13:50:00+05:30,NIFTY05JAN2318200CE,Sell,CE,18200,89.55,85.1,3337.5000000000023,Take-Profit,750
2023-01-02 14:40:00+05:30,2023-01-02 14:41:00+05:30,NIFTY05JAN2318150PE,Buy,PE,18150,90.7,87.5,2400.0000000000023,Take-Profit,750
2023-01-03 09:20:00+05:30,2023-01-03 09:22:00+05:30,NIFTY05JAN2318150CE,Sell,CE,18150,98.25,104.25,-4500.0,Stop-Loss,750
2023-01-03 09:45:00+05:30,2023-01-03 09:51:00+05:30,NIFTY05JAN2318200PE,Buy,PE,18200,83.05,79.95,2324.999999999996,Take-Profit,750
2023-01-03 10:50:00+05:30,2023-01-03 10:52:00+05:30,NIFTY05JAN2318200CE,Sell,CE,18200,100.9,103.0,-1574.9999999999957,Stop-Loss,750
2023-01-03 11:10:00+05:30,2023-01-03 11:14:00+05:30,NIFTY05JAN2318250PE,Buy,PE,18250,85.95,87.5,-1162.499999999998,Stop-Loss,750
2023-01-03 11:25:00+05:30,2023-01-03 11:28:00+05:30,NIFTY05JAN2318250CE,Sell,CE,18250,75.0,77.2,-1650.000000000002,Stop-Loss,750
2023-01-03 11:35:00+05:30,2023-01-03 11:38:00+05:30,NIFTY05JAN2318250PE,Buy,PE,18250,85.0,87.45,-1837.500000000002,Stop-Loss,750
2023-01-03 11:40:00+05:30,2023-01-03 11:44:00+05:30,NIFTY05JAN2318250CE,Sell,CE,18250,73.1,75.2,-1575.0000000000064,Stop-Loss,750
2023-01-03 12:45:00+05:30,2023-01-03 12:48:00+05:30,NIFTY05JAN2318200PE,Buy,PE,18200,85.5,88.0,-1875.0,Stop-Loss,750
2023-01-03 15:00:00+05:30,2023-01-03 15:01:00+05:30,NIFTY05JAN2318250CE,Sell,CE,18250,72.5,68.05,3337.5000000000023,Take-Profit,750
2023-01-04 10:25:00+05:30,2023-01-04 10:26:00+05:30,NIFTY05JAN2318150PE,Buy,PE,18150,66.9,64.8,1575.0000000000064,Take-Profit,750
2023-01-04 10:50:00+05:30,2023-01-04 10:52:00+05:30,NIFTY05JAN2318150CE,Sell,CE,18150,62.6,60.0,1950.0000000000011,Take-Profit,750
2023-01-04 11:30:00+05:30,2023-01-04 11:31:00+05:30,NIFTY05JAN2318100PE,Buy,PE,18100,64.8,69.25,-3337.5000000000023,Stop-Loss,750
2023-01-04 11:50:00+05:30,2023-01-04 11:54:00+05:30,NIFTY05JAN2318100CE,Sell,CE,18100,66.6,62.0,3449.999999999996,Take-Profit,750
2023-01-04 12:25:00+05:30,2023-01-04 12:27:00+05:30,NIFTY05JAN2318050PE,Buy,PE,18050,69.3,66.35,2212.5000000000023,Take-Profit,750
2023-01-04 14:25:00+05:30,2023-01-04 14:26:00+05:30,NIFTY05JAN2318100CE,Sell,CE,18100,55.65,50.65,3750.0,Take-Profit,750
2023-01-05 09:20:00+05:30,2023-01-05 09:21:00+05:30,NIFTY05JAN2318050PE,Buy,PE,18050,43.35,40.7,1987.4999999999989,Take-Profit,750
